food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Cottage Cheese with Cucumber,150,5,24,4,1,100,0,0,0.5,10,0.1,0.1,0.5,0.1,5,120,0.5,5,50,200,250,0.5,0,0,1,Vegetarian,Breakfast,Female
Scrambled Eggs with Tomatoes,180,6,15,15,2,500,5,0,1,5,0.1,0.2,0.5,0.1,10,80,0.5,10,100,300,200,0.5,0,0,2,Vegetarian,Breakfast,Male
Low-Sodium Granola with Milk,250,50,8,8,5,20,5,0,1,1,0.1,0.2,1,0.1,15,300,1,20,200,400,50,0.5,0,0,3,Vegetarian,Breakfast,Female
Mixed Greens with Grilled Chicken,300,12,30,15,5,100,20,0,1,30,0.2,0.1,10,0.3,25,50,2,20,150,400,200,1,0,0,3,Non-Vegetarian,Lunch,Male
Quinoa and Veggie Bowl,320,60,15,10,10,50,20,0,1.5,5,0.1,0.1,2,0.2,15,60,3,15,150,500,0,0.5,0,0,4,Vegetarian,Lunch,Female
Whole-Wheat Pasta with Veggies,350,50,10,5,6,50,15,0,1,2,0.1,0.1,3,0.2,25,30,1,10,80,300,0,0.5,0,0,2,Vegetarian,Lunch,Female
Grilled Salmon with Roasted Potatoes,500,35,30,20,5,500,0,450,2,0,0.2,0.3,5,0.2,15,60,0.5,10,250,700,80,0.5,100,0,0,Non-Vegetarian,Dinner,Male
Turkey Wrap with Lettuce,250,25,25,10,3,200,10,0,1,5,0.1,0.2,2,0.1,10,80,1,5,150,250,300,0.5,0,0,1,Non-Vegetarian,Lunch,Male
Lentil Soup with No Salt,180,30,12,1,8,20,5,0,0.5,1,0.1,0.1,1,0.1,20,30,2,5,80,350,10,0.5,0,0,3,Vegetarian,Lunch,Female
Chickpea Salad with Olive Oil,250,30,12,15,8,50,10,0,2,10,0.1,0.1,3,0.2,30,80,1,10,150,400,5,0.5,0,0,1,Vegetarian,Lunch,Female
Baked Sweet Potato with Black Beans,280,70,12,3,10,180,5,0,0.5,15,0.1,0.1,1,0.2,20,120,2,10,150,400,5,0.5,0,0,4,Vegetarian,Lunch,Female
Stir-Fried Tofu and Veggies,220,20,20,15,4,50,10,0,1,10,0.1,0.2,3,0.2,20,150,2,10,200,500,10,0.5,0,0,3,Vegetarian,Dinner,Female
Veggie-Stuffed Bell Peppers,200,35,10,5,8,100,10,0,0.5,15,0.1,0.1,1,0.2,25,50,1,10,150,300,0,0.5,0,0,3,Vegetarian,Dinner,Female
Baked Fish with Green Beans,350,15,30,15,5,200,10,200,1,20,0.1,0.2,3,0.2,25,40,1,10,150,300,100,1,500,0,1,Non-Vegetarian,Dinner,Male
Veggie Stir-Fry with Brown Rice,300,60,15,10,8,100,30,0,1,10,0.2,0.1,4,0.2,20,30,3,15,200,400,5,0.5,0,0,3,Vegetarian,Dinner,Female
Grilled Chicken with Sweet Potato,450,50,35,15,7,500,20,0,1.5,5,0.2,0.2,5,0.2,15,60,2,10,200,500,0,0.5,100,0,4,Non-Vegetarian,Dinner,Male
Veggie-Loaded Soup,150,25,8,5,6,200,20,0,0.5,15,0.1,0.1,2,0.1,20,30,1,5,80,200,0,0.5,0,0,2,Vegetarian,Dinner,Female
Steamed Broccoli with Tofu,180,15,20,10,5,100,30,0,0.5,10,0.1,0.2,3,0.2,20,100,2,15,150,400,10,0.5,0,0,2,Vegetarian,Dinner,Female
Roasted Salmon with Kale,400,20,30,25,4,500,5,450,2,0,0.2,0.3,5,0.3,15,60,0.5,10,250,700,80,0.5,100,0,0,Non-Vegetarian,Dinner,Male
Vegetable Curry with Brown Rice,350,60,10,10,8,200,20,0,1,10,0.1,0.1,3,0.2,25,50,1,10,150,300,5,0.5,0,0,3,Vegetarian,Dinner,Female
Stuffed Peppers with Lean Meat,250,30,25,15,4,100,10,0,1,15,0.1,0.2,4,0.2,20,80,1,5,150,400,10,0.5,0,0,2,Non-Vegetarian,Dinner,Male
Turkey Lettuce Wraps,200,10,20,15,2,50,5,0,0.5,5,0.1,0.1,3,0.1,10,60,0.5,5,80,250,200,0.5,0,0,1,Non-Vegetarian,Lunch,Male
Roasted Vegetables with Chickpeas,300,45,10,5,10,100,20,0,1,10,0.1,0.1,3,0.2,20,50,1,10,150,300,0,0.5,0,0,3,Vegetarian,Lunch,Female
Oatmeal with Walnuts,220,30,10,15,5,200,5,0,2,2,0.1,0.2,1,0.2,15,30,3,10,200,400,1,0.5,0,0,1,Vegetarian,Breakfast,Female
Avocado Toast with Whole-Grain Bread,300,40,10,20,7,500,10,0,2.5,20,0.2,0.2,3,0.2,30,50,2,15,200,500,5,0.5,200,0,1,Vegetarian,Breakfast,Female
Greek Yogurt with Berries,180,20,15,5,2,100,15,0,0.5,2,0.1,0.2,1,0.1,15,200,0.5,5,150,300,60,0.5,0,0,3,Vegetarian,Breakfast,Female
Smoothie with Kale and Chia Seeds,250,35,7,10,7,200,30,0,1,15,0.1,0.2,2,0.2,25,50,2,10,200,400,5,0.5,500,0,3,Vegetarian,Breakfast,Female
Scrambled Eggs with Tomatoes,180,15,18,15,2,500,10,0,1,3,0.1,0.3,1,0.2,20,60,1,10,200,300,70,0.5,0,0,2,Vegetarian,Breakfast,Male
Cottage Cheese with Fruits,150,20,14,5,1,100,5,0,0.5,5,0.1,0.1,1,0.1,10,80,1,5,150,250,0,0.5,0,0,3,Vegetarian,Breakfast,Female
Whole-Grain Cereal with Almond Milk,200,45,7,5,5,50,5,0,1,2,0.1,0.1,3,0.2,x`,60,1,5,80,200,100,0.5,0,0,2,Vegetarian,Breakfast,Female
Veggie Omelet,200,10,15,10,3,300,10,0,0.5,2,0.1,0.1,1,0.2,20,70,1,10,150,300,0,0.5,0,0,1,Vegetarian,Breakfast,Female
Chia Pudding with Berries,180,30,8,15,10,100,15,0,1,10,0.1,0.2,2,0.2,20,50,2,15,150,400,5,0.5,300,0,3,Vegetarian,Breakfast,Female
Almond Butter on Whole-Grain Toast,250,30,10,20,5,50,5,0,1,3,0.1,0.2,1,0.2,10,80,1,5,100,300,0,0.5,0,0,2,Vegetarian,Breakfast,Female
Grilled Chicken with Quinoa,400,40,35,10,5,300,5,0,2,5,0.1,0.2,4,0.4,20,60,3,10,250,400,75,1,0,0,2,Non-Vegetarian,Lunch,Male
Lentil Soup,180,40,15,5,8,50,10,0,1,4,0.2,0.1,2,0.2,20,40,1,5,100,300,500,0.5,0,0,2,Vegetarian,Lunch,Female
Baked Fish with Steamed Vegetables,350,20,30,15,5,100,15,0,2,10,0.1,0.2,3,0.2,10,50,2,10,150,400,80,0.5,0,0,3,Non-Vegetarian,Dinner,Male
Turkey Wrap with Whole-Wheat Tortilla,250,40,25,10,6,200,5,0,1,2,0.1,0.2,3,0.3,30,60,2,5,200,500,700,0.5,0,0,2,Non-Vegetarian,Lunch,Male
Chickpea and Veggie Salad,220,45,15,10,8,100,20,0,2,20,0.1,0.2,4,0.3,40,80,1,10,200,400,5,0.5,0,0,4,Vegetarian,Lunch,Female
Stir-Fried Tofu with Greens,220,30,20,20,5,300,10,0,1,5,0.1,0.2,2,0.2,20,60,2,10,150,400,5,0.5,0,0,2,Vegetarian,Dinner,Female
Veggie-Packed Sandwich,280,50,15,10,8,200,10,0,2,10,0.1,0.1,2,0.2,25,60,2,5,150,300,5,0.5,0,0,3,Vegetarian,Breakfast,Female
Spinach Salad with Nuts,200,20,10,25,5,500,30,0,4,20,0.1,0.1,1,0.2,25,80,2,10,100,300,5,0.5,0,0,1,Vegetarian,Lunch,Female
Veggie and Brown Rice Stir-Fry,300,60,15,10,5,200,10,0,1,10,0.1,0.2,2,0.2,20,50,1,10,150,400,5,0.5,0,0,2,Vegetarian,Dinner,Female
Kale and Chickpea Salad,250,30,12,10,8,300,20,0,2,20,0.1,0.2,3,0.3,30,80,1,5,150,300,5,0.5,0,0,2,Vegetarian,Lunch,Female
Baked Salmon with Asparagus,400,10,40,15,3,500,5,600,2,20,0.1,0.3,5,0.6,15,30,1,10,300,600,50,1,200,0,0,Non-Vegetarian,Dinner,Male
Veggie Stir-Fry with Brown Rice,300,65,10,15,6,100,15,0,2,10,0.1,0.2,2,0.3,20,60,2,10,150,400,5,0.5,0,0,4,Vegetarian,Dinner,Female
Roasted Veggies with Lean Protein,200,30,25,10,8,100,10,0,2,20,0.1,0.2,3,0.2,30,50,1,5,100,300,5,0.5,0,0,3,Non-Vegetarian,Dinner,Male
Whole-Wheat Pasta with Tomato Sauce,320,60,12,8,4,500,15,0,1,10,0.1,0.2,3,0.2,25,40,2,5,200,300,600,0.5,0,0,5,Vegetarian,Dinner,Female
Baked Tofu with Stir-Fried Greens,220,20,25,15,5,300,10,0,1,20,0.1,0.2,3,0.2,20,60,2,10,150,400,5,0.5,0,0,2,Vegetarian,Dinner,Female
Chicken Breast with Sautéed Mushrooms,350,10,45,15,2,150,5,0,1,0,0.1,0.2,4,0.4,15,40,1,5,150,300,60,1,0,0,0,Non-Vegetarian,Dinner,Male
Spinach and Feta Stuffed Peppers,220,20,15,15,5,500,10,0,1,20,0.1,0.2,3,0.2,25,30,1,5,100,300,5,0.5,0,0,1,Vegetarian,Dinner,Female
Veggie and Lentil Curry,300,50,20,10,12,100,20,0,2,15,0.1,0.2,5,0.3,40,60,3,10,150,400,5,0.5,0,0,2,Vegetarian,Dinner,Female
Veggie Soup with Quinoa,180,35,10,5,6,200,15,0,1,10,0.1,0.2,2,0.2,30,40,2,5,100,300,5,0.5,0,0,1,Vegetarian,Dinner,Female
Grilled Shrimp with Steamed Broccoli,250,10,35,10,4,100,15,0,1,20,0.1,0.2,2,0.3,25,60,2,10,150,400,5,0.5,0,0,3,Non-Vegetarian,Dinner,Male
Oatmeal with Berries,200,45,8,5,6,200,10,0,1,2,0.1,0.2,1,0.1,25,30,2,10,60,250,5,0.3,0,0,5,Vegetarian,Breakfast,Female
Yogurt with Flaxseeds,180,15,6,7,3,100,2,0,0.5,2,0.1,0.2,1,0.1,10,150,0.5,5,80,200,50,0.5,0,0,5,Vegetarian,Breakfast,Female
Scrambled Eggs with Spinach,180,2,12,15,2,500,2,0,1,5,0.1,0.3,0,0.2,10,60,1,5,250,400,120,1,0,0,1,Vegetarian,Breakfast,Male
Fruit Smoothie with Chia Seeds,250,40,6,10,8,150,20,0,1,5,0.1,0.2,2,0.3,15,100,1,10,50,300,5,0.5,100,0,15,Vegetarian,Breakfast,Female
Whole-Grain Toast with Avocado,300,30,6,15,7,300,10,0,2,15,0.1,0.2,1,0.1,10,30,1,5,100,300,150,1,20,0,0,Vegetarian,Breakfast,Female
Cottage Cheese with Pineapple,160,25,14,4,1,50,15,0,0.5,2,0.1,0.2,0,0.1,5,100,0.5,5,50,200,600,0.3,0,0,7,Vegetarian,Breakfast,Female
Chia Pudding with Mango,200,30,6,10,8,150,20,0,1,5,0.1,0.2,1,0.3,15,70,1,5,100,300,5,0.5,0,0,5,Vegetarian,Breakfast,Female
Kefir Smoothie,180,30,8,6,3,100,15,0,0.5,2,0.1,0.2,1,0.1,10,100,1,5,80,300,5,0.5,0,0,7,Vegetarian,Breakfast,Female
Low-Sugar Granola with Almond Milk,220,25,6,7,3,100,2,0,1,2,0.1,0.2,1,0.1,10,150,0.5,5,80,200,50,0.3,0,0,4,Vegetarian,Breakfast,Female
Papaya Slices,60,15,1,0,2,500,60,0,0.5,1,0.1,0.1,0,0.1,20,20,0.5,2,30,150,5,0.1,0,0,8,Vegetarian,Breakfast,Female
Chicken Salad with Leafy Greens,300,10,30,15,5,500,20,0,1.5,10,0.2,0.2,2,0.3,15,60,1,10,200,400,100,1,0,0,3,Non-Vegetarian,Lunch,Male
Quinoa with Steamed Veggies,220,40,8,4,6,150,15,0,1,5,0.1,0.2,1,0.2,20,40,2,5,100,300,5,0.4,0,0,2,Vegetarian,Lunch,Female
Sweet Potato and Lentil Stew,250,45,12,4,10,180,10,0,1,10,0.1,0.2,2,0.2,15,40,3,5,100,500,5,0.5,0,0,3,Vegetarian,Lunch,Female
Vegetable Wrap with Hummus,280,40,10,10,8,200,15,0,2,20,0.2,0.3,2,0.2,15,100,1,10,150,400,5,0.5,0,0,2,Vegetarian,Lunch,Female
Baked Salmon with Green Beans,350,10,30,20,4,500,15,600,2,10,0.2,0.2,5,0.3,15,40,1,10,200,400,80,0.6,0,0,0,Non-Vegetarian,Lunch,Male
Chickpea Salad with Olive Oil,250,30,10,15,8,150,10,0,1,5,0.1,0.2,2,0.2,20,80,1,5,50,250,5,0.5,0,0,1,Vegetarian,Lunch,Female
Turkey Lettuce Wraps,200,5,30,10,2,100,5,0,1,10,0.1,0.2,3,0.2,10,50,0.5,5,100,250,70,0.4,0,0,1,Non-Vegetarian,Lunch,Male
Spinach and Lentil Soup,180,30,12,4,8,500,15,0,1,20,0.1,0.2,2,0.3,20,50,1,5,80,300,5,0.3,0,0,1,Vegetarian,Lunch,Female
Grilled Veggies with Tofu,220,20,15,10,6,100,15,0,1,10,0.1,0.2,1,0.2,10,60,1,5,100,400,5,0.5,0,0,2,Vegetarian,Lunch,Female
Salad with Fermented Veggies (Sauerkraut),150,15,4,6,5,50,5,0,1,20,0.1,0.2,1,0.1,10,20,0.5,2,30,100,5,0.2,0,0,1,Vegetarian,Lunch,Female
Baked Fish with Roasted Carrots,300,20,25,8,5,900,10,600,1,5,0.1,0.2,3,0.3,15,40,1,10,150,300,70,0.5,0,0,2,Non-Vegetarian,Dinner,Male
Roasted Vegetables with Lean Protein,200,30,30,10,7,700,15,0,1.5,10,0.1,0.2,5,0.3,20,60,1,15,200,400,5,0.5,0,0,3,Non-Vegetarian,Dinner,Male
Zucchini Noodles with Marinara Sauce,150,30,5,6,4,150,10,0,1,10,0.1,0.2,2,0.2,10,30,1,5,50,250,5,0.3,0,0,3,Vegetarian,Dinner,Female
Brown Rice with Stir-Fried Veggies,300,45,6,4,5,100,15,0,1,15,0.1,0.1,2,0.1,15,50,1,5,100,300,5,0.4,0,0,1,Vegetarian,Dinner,Female
Vegetable Soup with Chickpeas,200,25,8,4,6,300,20,0,1,20,0.1,0.2,3,0.3,15,40,2,5,100,300,5,0.3,0,0,2,Vegetarian,Dinner,Female
Veggie-Stuffed Bell Peppers,250,30,10,7,8,150,20,0,1,10,0.1,0.2,2,0.3,20,60,1,5,150,400,5,0.4,0,0,1,Vegetarian,Dinner,Female
Grilled Chicken with Steamed Broccoli,300,10,30,10,5,300,10,600,1,5,0.1,0.2,5,0.3,10,40,1,10,200,400,70,0.5,0,0,2,Non-Vegetarian,Dinner,Male
Lentil Curry with Steamed Veggies,280,35,10,4,8,250,15,0,1,10,0.1,0.2,2,0.3,20,80,3,5,100,350,5,0.5,0,0,2,Vegetarian,Dinner,Female
Roasted Squash,100,40,3,3,5,180,10,0,1,10,0.1,0.2,1,0.2,10,20,1,2,30,150,5,0.2,0,0,1,Vegetarian,Dinner,Female
Spinach Salad with Pumpkin Seeds,200,15,8,12,4,150,15,0,1,20,0.1,0.2,2,0.3,15,50,1,5,100,300,5,0.3,0,0,1,Vegetarian,Dinner,Female
Greek Yogurt with Nuts,180,15,12,15,3,100,2,80,0.5,1,0.1,0.2,0.5,0.1,15,150,1,25,200,200,80,1,20,60,8,Vegetarian,Breakfast,Female
Almond Butter on Whole-Grain Toast,250,20,6,12,4,0,0,0,4,1,0.1,0.1,2,0.1,15,100,1.5,60,100,150,120,0.8,10,30,3,Vegetarian,Breakfast,Female
Fortified Orange Juice,110,25,2,0,0,200,60,100,0.2,0,0,0,0,0,0,20,0.2,15,20,400,5,0.1,0,0,20,Vegetarian,Breakfast,Female
Chia Seed Pudding,200,12,6,10,10,0,1,0,0.3,0,0.1,0.1,1,0.1,30,200,2,50,150,150,10,1,30,80,1,Vegetarian,Breakfast,Female
Scrambled Eggs with Spinach,180,3,12,15,2,400,8,80,1,60,0.1,0.2,1,0.2,15,50,1,15,200,150,140,1,20,60,1,Vegetarian,Breakfast,Male
Oatmeal with Almonds,220,30,6,7,5,0,0,0,3,1,0.1,0.1,2,0.1,15,80,1.5,60,100,150,10,0.8,0,10,1,Vegetarian,Breakfast,Female
Smoothie with Almond Milk,250,20,4,5,4,100,5,80,1,1,0.1,0.1,1,0.1,20,100,1,40,100,300,5,0.3,5,10,10,Vegetarian,Breakfast,Female
Cottage Cheese with Berries,160,15,12,5,3,50,3,80,0.2,2,0.1,0.1,0.5,0.1,15,100,0.5,20,150,200,90,0.5,0,0,8,Vegetarian,Breakfast,Female
Tofu Scramble,180,10,15,10,5,100,5,0,1,20,0.1,0.2,1,0.1,20,200,2,40,150,250,10,1.5,5,10,0,Vegetarian,Breakfast,Female
Kefir with Berries,150,20,6,4,2,20,2,100,0.2,0,0.1,0.1,0.5,0.1,10,100,0.5,15,150,200,50,0.5,0,0,10,Vegetarian,Breakfast,Female
Grilled Chicken with Mixed Greens,300,8,30,8,3,200,20,80,1,60,0.2,0.2,5,0.3,20,40,2,30,250,400,120,1.5,30,70,5,Non-Vegetarian,Lunch,Male
Quinoa with Roasted Veggies,220,35,8,6,5,300,30,0,2,70,0.2,0.1,2,0.2,30,40,2.5,70,180,300,10,1,10,30,3,Vegetarian,Lunch,Female
Chickpea and Avocado Salad,250,25,12,16,9,400,15,0,3,100,0.1,0.1,1,0.2,40,50,2.5,50,150,500,10,1,15,50,2,Vegetarian,Lunch,Female
Baked Salmon with Leafy Greens,350,5,25,18,2,200,20,100,1.5,80,0.2,0.3,6,0.4,20,20,1,25,250,450,80,0.7,60,100,1,Non-Vegetarian,Lunch,Male
Veggie Stir-Fry with Tofu,220,20,15,10,4,300,25,0,1,50,0.1,0.2,2,0.2,30,80,2,40,150,300,20,1.2,10,20,5,Vegetarian,Lunch,Female
Fortified Cereal with Milk,180,30,8,5,2,500,12,120,0.3,10,0.1,0.2,4,0.2,20,300,2.5,30,180,250,200,0.8,5,15,10,Vegetarian,Lunch,Female
Veggie Wrap with Spinach,250,30,8,10,5,600,15,0,3,80,0.1,0.1,2,0.1,30,80,2,50,150,300,150,0.5,10,25,2,Vegetarian,Lunch,Female
Roasted Butternut Squash,100,30,2,3,6,800,30,0,1,30,0.1,0.1,1,0.1,20,40,0.7,30,100,350,15,0.4,5,10,6,Vegetarian,Lunch,Female
Lentil Stew with Kale,200,35,12,4,10,500,25,0,1,80,0.2,0.1,2,0.3,60,60,3.5,50,200,450,20,1,10,20,3,Vegetarian,Lunch,Female
Edamame Salad,180,12,15,8,7,200,10,0,0.4,40,0.1,0.1,1,0.1,20,80,2.5,50,150,400,10,1.2,15,30,1,Vegetarian,Lunch,Female
Baked Fish with Steamed Broccoli,300,6,25,10,4,500,90,100,1.5,180,0.2,0.3,6,0.3,25,70,1.8,30,300,500,80,1.2,60,90,2,Non-Vegetarian,Dinner,Male
Veggie Stir-Fry with Almonds,240,25,8,18,5,600,20,0,7,70,0.1,0.1,2,0.2,40,80,2.4,70,200,400,10,1.3,20,60,5,Vegetarian,Dinner,Female
Roasted Vegetables with Tofu,220,20,12,14,6,300,25,0,2,90,0.2,0.2,2,0.3,35,100,2,50,200,450,15,1,10,20,3,Vegetarian,Dinner,Female
Lentil Curry with Spinach,280,35,12,6,10,1000,50,0,2.5,100,0.3,0.2,2,0.3,90,100,3.5,60,300,700,15,1.5,15,30,4,Vegetarian,Dinner,Female
Grilled Chicken with Sweet Potatoes,350,30,28,10,4,700,25,90,1,70,0.2,0.2,5,0.3,25,60,2.5,40,350,800,90,1,30,70,6,Non-Vegetarian,Dinner,Male
Black Bean Soup with Kale,200,30,12,5,9,500,60,0,1.5,100,0.2,0.2,2,0.3,60,90,4,80,250,600,20,1.5,10,15,3,Vegetarian,Dinner,Female
Turkey with Roasted Brussels Sprouts,300,10,26,12,5,600,85,0,1.2,170,0.1,0.1,6,0.2,25,50,1.8,40,350,500,70,2,10,25,2,Non-Vegetarian,Dinner,Male
Baked Salmon with Kale,350,5,25,18,3,200,20,100,1.5,80,0.2,0.3,6,0.4,20,20,1,25,250,450,80,0.7,60,100,1,Non-Vegetarian,Dinner,Male
Chickpea Curry with Spinach,280,35,10,8,10,900,45,0,2,110,0.2,0.1,1,0.3,70,80,2.5,50,300,700,10,1.5,15,40,4,Vegetarian,Dinner,Female
Veggie Lasagna,300,40,15,12,5,500,30,0,1,70,0.2,0.2,4,0.2,40,150,3,60,250,600,300,1,5,20,7,Vegetarian,Dinner,Female
Oatmeal with Berries and Flaxseeds,220,40,7,5,7,100,30,0,1,10,0.2,0.1,1,0.1,25,60,1.8,60,150,250,5,0.5,1,3,5,Vegetarian,Breakfast,Female
Smoothie with Spinach and Chia Seeds,250,25,5,6,6,1500,45,0,1.5,90,0.1,0.1,1,0.2,40,50,1,30,100,350,10,0.5,500,2,6,Vegetarian,Breakfast,Female
Greek Yogurt with Walnuts,180,15,15,12,3,50,2,15,0.3,1,0.1,0.1,1,0.1,15,150,0.2,20,200,200,50,1.2,60,1,7,Vegetarian,Breakfast,Female
Avocado Toast on Whole-Grain Bread,280,30,7,15,6,200,10,0,1.2,15,0.2,0.1,1,0.2,30,30,1.5,30,150,350,150,1,60,2,2,Vegetarian,Breakfast,Female
Scrambled Eggs with Tomatoes,180,5,12,15,2,800,15,40,1.5,20,0.1,0.1,1,0.1,25,50,1.2,20,200,300,150,1,5,2,3,Vegetarian,Breakfast,Male
Chia Pudding with Almond Milk,180,12,5,7,8,10,0,100,2,0,0.1,0.1,1,0.1,10,150,0.8,40,150,180,5,0.7,500,1,2,Vegetarian,Breakfast,Female
Whole-Grain Cereal with Fruit,230,40,5,2,5,150,15,0,1,5,0.2,0.1,1,0.1,25,20,2,30,150,250,5,0.5,1,2,8,Vegetarian,Breakfast,Female
Cottage Cheese with Berries,170,10,10,7,2,50,15,15,0.2,1,0.1,0.1,1,0.1,15,100,0.3,20,150,150,50,0.5,1,1,5,Vegetarian,Breakfast,Female
Boiled Eggs with Fruit,200,12,12,8,2,150,25,40,1,5,0.1,0.1,1,0.1,25,50,1,10,100,200,70,0.7,1,1,6,Vegetarian,Breakfast,Male
Smoothie with Beets and Greens,230,30,4,5,6,3000,50,0,1.5,150,0.1,0.1,1,0.2,60,40,1,30,100,400,10,0.5,10,1,5,Vegetarian,Breakfast,Female
Salmon Salad with Leafy Greens,330,10,28,18,4,3000,30,200,1.5,100,0.1,0.4,12,0.5,50,100,1.5,50,300,800,100,0.8,1800,3,5,Non-Vegetarian,Lunch,Male
Quinoa with Veggies,250,45,8,7,6,500,15,0,0.8,15,0.2,0.1,2,0.2,45,80,2,90,250,300,5,1,30,1,3,Vegetarian,Lunch,Female
Turkey and Veggie Wrap,270,40,22,10,4,500,10,0,0.8,15,0.2,0.2,5,0.3,20,50,1.5,30,200,400,500,1.5,10,2,4,Non-Vegetarian,Lunch,Male
Lentil Soup with Tomatoes,220,30,12,4,8,1000,30,0,0.5,20,0.3,0.2,3,0.4,50,70,3,50,200,500,20,1.2,0,1,4,Vegetarian,Lunch,Female
Grilled Chicken with Kale,350,5,28,12,3,1000,25,20,1,80,0.1,0.3,10,0.4,40,50,1.2,20,200,600,70,1,5,2,1,Non-Vegetarian,Lunch,Male
Chickpea and Spinach Salad,280,30,12,8,8,5000,20,0,1,80,0.3,0.1,2,0.3,50,80,2.5,60,150,600,10,1.2,0,2,2,Vegetarian,Lunch,Female
Veggie Wrap with Hummus,270,40,8,10,6,1000,15,0,0.6,40,0.2,0.1,2,0.1,20,30,2,50,150,400,150,0.7,0,2,5,Vegetarian,Lunch,Female
Whole-Wheat Pasta with Tomato Sauce,280,50,9,5,7,1000,30,0,0.4,15,0.2,0.1,3,0.2,25,30,3,40,150,300,5,0.8,0,1,6,Vegetarian,Lunch,Female
Roasted Veggie Bowl with Brown Rice,270,50,8,6,8,1500,20,0,0.5,60,0.2,0.1,3,0.3,30,50,2,70,200,400,5,1,0,1,3,Vegetarian,Lunch,Female
Stuffed Bell Peppers with Lean Meat,270,20,22,12,5,3000,40,20,0.8,90,0.3,0.2,5,0.4,40,60,2,40,200,600,200,1.5,5,2,2,Non-Vegetarian,Lunch,Male
Baked Fish with Steamed Veggies,300,10,30,15,4,500,20,200,1.5,40,0.2,0.3,15,0.5,50,80,1.5,50,250,700,70,1,1000,2,0,Non-Vegetarian,Dinner,Male
Veggie Stir-Fry with Olive Oil,250,20,5,18,6,2500,30,0,2,40,0.2,0.1,2,0.2,30,50,2,40,200,400,0,1.5,0,0,3,Vegetarian,Dinner,Female
Roasted Veggies with Chicken Breast,350,20,35,12,6,1000,25,0,1,30,0.2,0.4,10,0.5,20,100,2.5,60,300,600,70,1.2,50,2,2,Non-Vegetarian,Dinner,Male
Tofu Stir-Fry with Veggies,250,30,20,10,5,1000,20,0,1.5,30,0.3,0.2,5,0.3,40,150,3,50,250,500,5,1,30,0,2,Vegetarian,Dinner,Female
Grilled Salmon with Asparagus,350,10,40,25,4,3000,20,500,2,70,0.2,0.3,8,0.5,25,150,1.5,40,200,600,70,1.5,2000,2,0,Non-Vegetarian,Dinner,Male
Turkey Meatballs with Zoodles,300,15,30,20,3,500,10,0,1,15,0.1,0.2,5,0.4,25,80,1.5,40,150,300,60,0.8,50,1,1,Non-Vegetarian,Dinner,Male
Veggie-Loaded Soup,230,30,8,4,6,2000,30,0,0.5,20,0.2,0.1,2,0.3,50,40,2,30,150,300,10,0.5,0,0,5,Vegetarian,Dinner,Female
Lentil Curry with Spinach,280,35,12,6,10,1000,15,0,1,30,0.3,0.2,5,0.3,40,50,2,60,200,500,5,1,0,1,2,Vegetarian,Dinner,Female
Quinoa with Chickpeas and Veggies,270,50,12,7,8,1000,25,0,0.8,40,0.3,0.2,3,0.4,30,60,2.5,60,200,500,5,0.8,0,1,4,Vegetarian,Dinner,Female
Veggie Burger with Salad,300,30,20,20,7,1000,20,0,1.5,40,0.2,0.3,5,0.5,50,100,2,50,250,600,5,1,0,1,2,Vegetarian,Dinner,Female
Orange Smoothie with Ginger,200,35,2,0.5,3,500,70,0,0.2,10,0.1,0.1,1,0.1,30,20,0.3,12,30,200,1,0.1,0,0,18,Vegetarian,Breakfast,Female
Greek Yogurt with Kiwi and Berries,180,25,10,6,4,300,70,0,0.5,20,0.1,0.2,2,0.1,30,150,0.5,30,150,400,60,1.2,50,0,12,Vegetarian,Breakfast,Female
Oatmeal with Honey and Almonds,220,40,8,8,5,50,2,0,1,2,0.1,0.1,1,0.1,10,100,1.8,50,200,300,10,1,0,1,15,Vegetarian,Breakfast,Female
Scrambled Eggs with Spinach,210,2,12,12,2,300,10,40,1,150,0.1,0.3,0,0.1,25,100,1.5,20,100,250,120,0.7,100,0,1,Vegetarian,Breakfast,Male
Chia Pudding with Berries,180,18,6,10,8,200,50,0,0.5,15,0.1,0.1,1,0.2,20,80,1.2,50,150,200,5,1,1500,1,10,Vegetarian,Breakfast,Female
"Smoothie with Spinach, Citrus, Turmeric",220,30,3,1,4,1000,80,0,0.5,20,0.1,0.1,2,0.1,25,30,0.5,20,50,300,2,0.2,0,0,20,Vegetarian,Breakfast,Female
Avocado Toast with Garlic,290,20,6,15,5,500,10,0,2,10,0.1,0.1,1,0.2,15,40,0.5,30,80,400,150,0.7,0,1,1,Vegetarian,Breakfast,Female
Yogurt with Sunflower Seeds,220,15,10,8,2,200,5,0,0.5,10,0.1,0.1,1,0.1,15,120,0.7,25,120,300,60,1,0,0,7,Vegetarian,Breakfast,Female
